MIMAT0022259,MIMAT0000071,MIMAT0005880,MIMAT0030987,MIMAT0003240,MIMAT0018978,MIMAT0019776
15.01808543,6.542653831,10.81764736,7.337628983,6.824962667,0.681900428,10.01365547
14.30544873,6.964481092,10.01132534,6.613302237,6.0318734,0.078744031,9.723826612
11.42,4.126,6.929,1.328,8.025,-3.513,5.985
9.887143498,2.114023594,5.520890884,2.491628599,7.441682504,1.976429609,5.738451891
15.0500316,5.579272149,11.54580929,7.169443239,5.239007685,2.995341143,10.31255124
11.17336586,2.120295308,6.444840329,2.969861735,6.977407874,2.593486921,6.467287428
13.67287268,5.363719649,10.14708208,6.0127257,0.29319135,4.588446911,9.301402046
12.13702915,3.880352265,8.223881272,3.728243651,6.93565595,2.784127322,7.164095927
11.997,3.093,6.975,-0.219,7.661,-2.72,6.546
13.31308522,4.921693702,8.851668794,4.903450789,5.202364959,-1.420085195,8.668741039
10.47632508,4.063728749,5.772572379,4.841504271,4.984327343,0.108096508,6.351928268
10.16075556,3.140528723,5.934050519,1.80170126,6.869641795,1.426103177,5.705978209
11.879,3.176,7.27,2.513,7.267,1.872,6.38
9.261,-2.911,2.034,0.484,7.375,-2.911,5.847
11.15752767,2.946913472,6.44255055,-3.008012921,7.417543852,-3.008012921,5.695827558
14.16821323,6.027035748,10.18584268,7.154933532,6.387446609,0.151044816,9.969394679
14.09313886,5.729862572,9.877909216,0.109334173,5.281588915,0.109334173,9.551007874
13.99098888,5.904102555,9.705247747,6.703323795,5.305833944,-1.028048699,9.9184301
14.85545353,7.324138435,10.66421703,4.663363395,5.957579593,4.384451311,9.44548521
9.158,3.7,-1.229,2.156,7.82,1.371,5.481
11.753,4.35,6.832,0.398,7.541,-3.367,6.001
13.6355087,7.48153884,9.802537294,6.774092508,4.664693031,-0.214744165,9.235351663
10.232,-2.646,5.711,2.128,8.259,2.422,6.464
12.16707881,3.53942833,7.194168786,2.941200185,6.740801623,-3.344509344,6.461540406
9.254,2.807,2.154,2.096,7.785,1.108,5.624
15.15000007,5.55411496,10.70188039,7.702155086,5.603744262,1.822205665,10.58337492
9.325,1.659,2.001,1.718,7.945,2.16,5.917
14.4294004,7.170482116,10.49869527,5.429254773,5.05392489,-0.369591935,9.614998776
14.9450562,5.409190253,10.58007757,6.979392883,3.568978211,4.181766472,9.909611001
12.79353828,5.978246619,8.635859194,0.026411068,4.92164204,1.89215102,8.668982383
14.80948124,6.76099505,10.68964896,6.562313317,5.317565249,0.060828683,10.12969824
14.02176699,5.561955808,9.92157643,5.800641558,1.239991845,-0.30400877,9.248064704
10.229,1.914,2.417,2.874,7.792,2.315,5.427
